Date,Mkt-RF,SMB,HML,RF
2018-01-02,8.5e-05,3.5e-05,-2.2000000000000003e-05,6e-07
2018-01-03,5.9e-05,-3.9e-05,-1.8e-05,6e-07
2018-01-04,4.2e-05,-2.6e-05,2.3999999999999997e-05,6e-07
2018-01-05,6.6e-05,-3.6e-05,-2.6e-05,6e-07
2018-01-08,1.9e-05,-1.5e-05,4e-06,6e-07
2018-01-09,1.5e-05,-3.4e-05,-2.9999999999999997e-06,6e-07
2018-01-10,-7.000000000000001e-06,7.000000000000001e-06,5.6999999999999996e-05,6e-07
2018-01-11,8.7e-05,0.000115,3.1e-05,6e-07
2018-01-12,6.6e-05,-3.1e-05,1.6e-05,6e-07
2018-01-16,-4.9e-05,-0.00010200000000000001,1e-06,6e-07
2018-01-17,9.499999999999999e-05,-2.9999999999999997e-06,-1e-05,6e-07
2018-01-18,-1.8e-05,-5e-05,-2.5e-05,6e-07
2018-01-19,5.6999999999999996e-05,9.399999999999998e-05,-4e-06,6e-07
2018-01-22,7.7e-05,-3.4e-05,-1.6e-05,6e-07
2018-01-23,2.2000000000000003e-05,1.4000000000000001e-05,-3.6e-05,6e-07
2018-01-24,-1.3e-05,-8.4e-05,4.4000000000000006e-05,6e-07
2018-01-25,7.000000000000001e-06,1.4000000000000001e-05,-5.4000000000000005e-05,6e-07
2018-01-26,0.000111,-6.099999999999999e-05,-5.2e-05,6e-07
2018-01-29,-6.2e-05,-2e-06,-2.5e-05,6e-07
2018-01-30,-0.000106,1.4000000000000001e-05,-2.1e-05,6e-07
2018-01-31,-7.000000000000001e-06,-7.400000000000001e-05,1.1000000000000001e-05,6e-07
2018-02-01,2.9999999999999997e-06,8e-06,5.4000000000000005e-05,6e-07
2018-02-02,-0.000213,4e-06,-2.8999999999999997e-05,6e-07
2018-02-05,-0.00040300000000000004,7.8e-05,-5.7999999999999994e-05,6e-07
2018-02-06,0.000167,-5.2e-05,-1.8e-05,6e-07
2018-02-07,-3.8e-05,5.3e-05,2.1e-05,6e-07
2018-02-08,-0.000368,8.100000000000002e-05,5.2e-05,6e-07
2018-02-09,0.000136,-5.7999999999999994e-05,1.5e-05,6e-07
2018-02-12,0.000136,-4.6e-05,-3e-05,6e-07
2018-02-13,3.1e-05,8e-06,-2.3999999999999997e-05,6e-07
2018-02-14,0.000152,2.6e-05,4.7999999999999994e-05,6e-07
2018-02-15,0.000121,-1.4000000000000001e-05,-6.3e-05,6e-07
2018-02-16,2.9999999999999997e-06,3.6e-05,1.6e-05,6e-07
2018-02-20,-6.2e-05,-3.6e-05,-2.3999999999999997e-05,6e-07
2018-02-21,-4.3e-05,7.900000000000001e-05,2.3e-05,6e-07
2018-02-22,1e-06,5e-06,-4e-05,6e-07
2018-02-23,0.000154,-3.8e-05,-1.5e-05,6e-07
2018-02-26,0.00011200000000000001,-5.1000000000000006e-05,-7.000000000000001e-06,6e-07
2018-02-27,-0.000125,-1.9e-05,2.9999999999999997e-06,6e-07
2018-02-28,-0.000111,-4.2e-05,-3.1e-05,6e-07
2018-03-01,-0.00011899999999999999,0.0001,-2e-06,5e-07
2018-03-02,7e-05,0.00011699999999999998,-4.9e-05,5e-07
2018-03-05,0.000106,-3.9e-05,2.3e-05,5e-07
2018-03-06,3.6e-05,6.8e-05,1.1999999999999999e-05,5e-07
2018-03-07,5e-06,7.8e-05,-4.4000000000000006e-05,5e-07
2018-03-08,3.7000000000000005e-05,-4.7999999999999994e-05,-3.6e-05,5e-07
2018-03-09,0.00017,-2.5e-05,2.8000000000000003e-05,5e-07
2018-03-12,-9e-06,4.699999999999999e-05,-8e-06,5e-07
2018-03-13,-6.7e-05,8e-06,2.9999999999999997e-06,5e-07
2018-03-14,-5.3e-05,2.3e-05,-5.7999999999999994e-05,5e-07
2018-03-15,-1.8e-05,-3.9e-05,3.2e-05,5e-07
2018-03-16,2.5e-05,4.699999999999999e-05,1.8e-05,5e-07
2018-03-19,-0.000138,3.5e-05,4.0999999999999994e-05,5e-07
2018-03-20,1.5e-05,-8e-06,-3.6e-05,5e-07
2018-03-21,-5.999999999999999e-06,7.5e-05,4.5e-05,5e-07
2018-03-22,-0.000254,5.1000000000000006e-05,-4.9e-05,5e-07
2018-03-23,-0.00020899999999999998,2.1e-05,-2.3e-05,5e-07
2018-03-26,0.000267,-6.8e-05,2.9999999999999997e-06,5e-07
2018-03-27,-0.00018700000000000002,-2.1e-05,3.7000000000000005e-05,5e-07
2018-03-28,-3.5e-05,1.4000000000000001e-05,6.500000000000001e-05,5e-07
2018-03-29,0.00014099999999999998,-3.1e-05,-2.2000000000000003e-05,5e-07
2018-04-02,-0.000229,-1.5e-05,3.6e-05,7.000000000000001e-07
2018-04-03,0.000124,-4e-06,1.9e-05,7.000000000000001e-07
2018-04-04,0.00011699999999999998,3.3e-05,-3.2e-05,7.000000000000001e-07
2018-04-05,7.5e-05,2.9999999999999997e-06,4.699999999999999e-05,7.000000000000001e-07
2018-04-06,-0.00021899999999999998,3.9e-05,-5.999999999999999e-06,7.000000000000001e-07
2018-04-09,3e-05,-1.5e-05,-5.3e-05,7.000000000000001e-07
2018-04-10,0.000177,4e-05,-1.1999999999999999e-05,7.000000000000001e-07
2018-04-11,-4.9e-05,9.2e-05,-3.1e-05,7.000000000000001e-07
2018-04-12,8.4e-05,-2.3e-05,1.9e-05,7.000000000000001e-07
2018-04-13,-3.7000000000000005e-05,2.9999999999999997e-06,-2.3999999999999997e-05,7.000000000000001e-07
2018-04-16,8.199999999999999e-05,8e-06,-2e-06,7.000000000000001e-07
2018-04-17,0.00010899999999999999,1.6e-05,-0.000118,7.000000000000001e-07
2018-04-18,1.3e-05,2.1e-05,2e-06,7.000000000000001e-07
2018-04-19,-4.9e-05,-4.699999999999999e-05,0.00010800000000000001,7.000000000000001e-07
2018-04-20,-8.100000000000002e-05,5.999999999999999e-06,5.7999999999999994e-05,7.000000000000001e-07
2018-04-23,-5e-06,-7.000000000000001e-06,2e-05,7.000000000000001e-07
2018-04-24,-0.00013000000000000002,5.4000000000000005e-05,0.00010200000000000001,7.000000000000001e-07
2018-04-25,1e-05,-3.3e-05,8e-06,7.000000000000001e-07
2018-04-26,9.599999999999999e-05,-3.9e-05,-8.5e-05,7.000000000000001e-07
2018-04-27,1e-06,-2.6e-05,2.9999999999999997e-06,7.000000000000001e-07
2018-04-30,-8e-05,2.9999999999999997e-06,-1e-05,7.000000000000001e-07
2018-05-01,2.3999999999999997e-05,2.3e-05,-5.500000000000001e-05,6e-07
2018-05-02,-6.3e-05,0.000128,-3.6e-05,6e-07
2018-05-03,-2.5e-05,-5.2e-05,-1.5e-05,6e-07
2018-05-04,0.00013000000000000002,2e-06,-2e-05,6e-07
2018-05-07,4.2e-05,4.0999999999999994e-05,-3.4e-05,6e-07
2018-05-08,7.000000000000001e-06,5e-05,2.3999999999999997e-05,6e-07
2018-05-09,8.9e-05,-2.2000000000000003e-05,2.6e-05,6e-07
2018-05-10,8.5e-05,-4.4000000000000006e-05,-5e-06,6e-07
2018-05-11,1.9e-05,1.3e-05,-3.8e-05,6e-07
2018-05-14,5e-06,-3.6e-05,1e-05,6e-07
2018-05-15,-5.500000000000001e-05,6.7e-05,4.0999999999999994e-05,6e-07
2018-05-16,5e-05,7.099999999999999e-05,-2.5e-05,6e-07
2018-05-17,2e-06,9e-05,3e-05,6e-07
2018-05-18,-2.3e-05,5.6999999999999996e-05,-6.099999999999999e-05,6e-07
2018-05-21,7.2e-05,-1.9e-05,4.4000000000000006e-05,6e-07
2018-05-22,-4.2e-05,-7.6e-05,6.099999999999999e-05,6e-07
2018-05-23,2.8999999999999997e-05,5e-06,-7e-05,6e-07
2018-05-24,-1.6e-05,3.7000000000000005e-05,-3.5e-05,6e-07
2018-05-25,-2.1e-05,2.5e-05,-4e-05,6e-07
2018-05-29,-0.000104,0.000133,-0.00010200000000000001,6e-07
2018-05-30,0.000131,5e-06,3.7000000000000005e-05,6e-07
2018-05-31,-7e-05,7.000000000000001e-06,-4.3e-05,6e-07
2018-06-01,0.000106,-2.3e-05,-1.1000000000000001e-05,6e-07
2018-06-04,4.7999999999999994e-05,1.8e-05,-4.4000000000000006e-05,6e-07
2018-06-05,1.6e-05,8.199999999999999e-05,-4.4000000000000006e-05,6e-07
2018-06-06,8.6e-05,-3.3e-05,2e-05,6e-07
2018-06-07,-1.4000000000000001e-05,-3e-05,9.300000000000001e-05,6e-07
2018-06-08,3.1e-05,8e-06,-4e-05,6e-07
2018-06-11,1.1999999999999999e-05,1.8e-05,-1.6e-05,6e-07
2018-06-12,2.3e-05,2.3e-05,-6.3e-05,6e-07
2018-06-13,-3.3e-05,7.000000000000001e-06,-2e-05,6e-07
2018-06-14,2.7000000000000002e-05,3.2e-05,-0.0001,6e-07
2018-06-15,-8e-06,5e-06,-2.5e-05,6e-07
2018-06-18,-9e-06,7.2e-05,8e-06,6e-07
2018-06-19,-3.8e-05,5.6999999999999996e-05,-1.4000000000000001e-05,6e-07
2018-06-20,2.3e-05,7.3e-05,-5.1000000000000006e-05,6e-07
2018-06-21,-7.3e-05,-6.3e-05,3.4e-05,6e-07
2018-06-22,1.1000000000000001e-05,0.0,4.6e-05,6e-07
2018-06-25,-0.00014800000000000002,-5.4000000000000005e-05,5.6999999999999996e-05,6e-07
2018-06-26,2.7000000000000002e-05,6.3e-05,-2.3999999999999997e-05,6e-07
2018-06-27,-0.00010200000000000001,-0.0001,3.6e-05,6e-07
2018-06-28,5.7999999999999994e-05,-1.8e-05,-5.1000000000000006e-05,6e-07
2018-06-29,7.000000000000001e-06,-2e-05,-2.3999999999999997e-05,6e-07
2018-07-02,3.6e-05,4.4000000000000006e-05,-2.6e-05,8.000000000000001e-07
2018-07-03,-4.4000000000000006e-05,8.100000000000002e-05,-2e-06,8.000000000000001e-07
2018-07-05,8.7e-05,4.4000000000000006e-05,-4.3e-05,8.000000000000001e-07
2018-07-06,8.800000000000001e-05,5e-06,-3e-05,8.000000000000001e-07
2018-07-09,9.300000000000001e-05,-4.0999999999999994e-05,8.6e-05,8.000000000000001e-07
2018-07-10,2.1e-05,-7.8e-05,-1.7e-05,8.000000000000001e-07
2018-07-11,-6.9e-05,-2e-06,-4.699999999999999e-05,8.000000000000001e-07
2018-07-12,8.6e-05,-3.5e-05,-0.00011399999999999999,8.000000000000001e-07
2018-07-13,8e-06,-1.1999999999999999e-05,-2.8999999999999997e-05,8.000000000000001e-07
2018-07-16,-1.6e-05,-7.8e-05,9.8e-05,8.000000000000001e-07
2018-07-17,4.7999999999999994e-05,2.6e-05,-7.6e-05,8.000000000000001e-07
2018-07-18,2.7000000000000002e-05,-2.7000000000000002e-05,6.7e-05,8.000000000000001e-07
2018-07-19,-3.4e-05,9.599999999999999e-05,-3.6e-05,8.000000000000001e-07
2018-07-20,-1e-05,-1.9e-05,1.3e-05,8.000000000000001e-07
2018-07-23,1.5e-05,-3e-05,5.500000000000001e-05,8.000000000000001e-07
2018-07-24,2.2000000000000003e-05,-0.000136,4e-05,8.000000000000001e-07
2018-07-25,8.3e-05,-4.4000000000000006e-05,-0.000106,8.000000000000001e-07
2018-07-26,-2e-05,6.500000000000001e-05,5.6999999999999996e-05,8.000000000000001e-07
2018-07-27,-8.199999999999999e-05,-0.000138,0.000106,8.000000000000001e-07
2018-07-30,-7e-05,-2.2000000000000003e-05,0.00015700000000000002,8.000000000000001e-07
2018-07-31,5.1000000000000006e-05,8.6e-05,-0.000111,8.000000000000001e-07
2018-08-01,-1.3e-05,5e-06,-1.9e-05,7.000000000000001e-07
2018-08-02,6.7e-05,3.1e-05,-6.8e-05,7.000000000000001e-07
2018-08-03,3.1e-05,-0.00010700000000000001,5.1000000000000006e-05,7.000000000000001e-07
2018-08-06,4.6e-05,2.6e-05,-3.3e-05,7.000000000000001e-07
2018-08-07,2.8999999999999997e-05,2.9999999999999997e-06,-1.7e-05,7.000000000000001e-07
2018-08-08,-4e-06,-1.1999999999999999e-05,2.6e-05,7.000000000000001e-07
2018-08-09,-5e-06,3.7000000000000005e-05,-3.5e-05,7.000000000000001e-07
2018-08-10,-6e-05,3.9e-05,-2.1e-05,7.000000000000001e-07
2018-08-13,-4.6e-05,-1.5e-05,-2.8999999999999997e-05,7.000000000000001e-07
2018-08-14,6.9e-05,3e-05,2.1e-05,7.000000000000001e-07
2018-08-15,-9.1e-05,-5.4000000000000005e-05,-1.3e-05,7.000000000000001e-07
2018-08-16,8.6e-05,-5.999999999999999e-06,2.5e-05,7.000000000000001e-07
2018-08-17,3e-05,9e-06,2e-06,7.000000000000001e-07
2018-08-20,2.5e-05,1.1999999999999999e-05,1.4000000000000001e-05,7.000000000000001e-07
2018-08-21,3.3e-05,9.1e-05,1.1999999999999999e-05,7.000000000000001e-07
2018-08-22,5e-06,3.6e-05,-3.5e-05,7.000000000000001e-07
2018-08-23,-1.9e-05,-5e-06,-3.3e-05,7.000000000000001e-07
2018-08-24,6.2e-05,-2e-06,-5.6999999999999996e-05,7.000000000000001e-07
2018-08-27,7.400000000000001e-05,-6.7e-05,-1.6e-05,7.000000000000001e-07
2018-08-28,-1e-06,-1.1999999999999999e-05,-2.8000000000000003e-05,7.000000000000001e-07
2018-08-29,5.6000000000000006e-05,-5e-06,-5.7999999999999994e-05,7.000000000000001e-07
2018-08-30,-4.0999999999999994e-05,2.8999999999999997e-05,-4.2e-05,7.000000000000001e-07
2018-08-31,8e-06,5e-05,-3.9e-05,7.000000000000001e-07
2018-09-04,-1.1000000000000001e-05,-3.7000000000000005e-05,1e-06,8.000000000000001e-07
2018-09-05,-4.0999999999999994e-05,-1.8e-05,6.6e-05,8.000000000000001e-07
2018-09-06,-4.4000000000000006e-05,-3.5e-05,-2.3999999999999997e-05,8.000000000000001e-07
2018-09-07,-1.8e-05,1e-05,-2.2000000000000003e-05,8.000000000000001e-07
2018-09-10,2.3e-05,1.1999999999999999e-05,-3.7000000000000005e-05,8.000000000000001e-07
2018-09-11,3.7000000000000005e-05,-3e-05,-2.3999999999999997e-05,8.000000000000001e-07
2018-09-12,2.9999999999999997e-06,-5.999999999999999e-06,-2.2000000000000003e-05,8.000000000000001e-07
2018-09-13,4.5e-05,-4.4000000000000006e-05,-4.0999999999999994e-05,8.000000000000001e-07
2018-09-14,1.1999999999999999e-05,2.6e-05,2.5e-05,8.000000000000001e-07
2018-09-17,-7.099999999999999e-05,-4.5e-05,8.4e-05,8.000000000000001e-07
2018-09-18,5.6999999999999996e-05,4e-06,-4.9e-05,8.000000000000001e-07
2018-09-19,5.999999999999999e-06,-6.6e-05,0.000128,8.000000000000001e-07
2018-09-20,7.7e-05,3.1e-05,-2.3e-05,8.000000000000001e-07
2018-09-21,-1.3e-05,-4.2e-05,3e-05,8.000000000000001e-07
2018-09-24,-3.1e-05,5e-06,-9e-05,8.000000000000001e-07
2018-09-25,-5e-06,2.7000000000000002e-05,-3.8e-05,8.000000000000001e-07
2018-09-26,-4e-05,-3.8e-05,-6.4e-05,8.000000000000001e-07
2018-09-27,2.7000000000000002e-05,-2.6e-05,-5.500000000000001e-05,8.000000000000001e-07
2018-09-28,-2.9999999999999997e-06,4e-05,-2e-05,8.000000000000001e-07
2018-10-01,1.6e-05,-0.00016200000000000003,3.4e-05,8.000000000000001e-07
2018-10-02,-2.1e-05,-9.8e-05,6e-05,8.000000000000001e-07
2018-10-03,2e-05,8.4e-05,5e-05,8.000000000000001e-07
2018-10-04,-9.300000000000001e-05,-0.000106,0.00015800000000000002,8.000000000000001e-07
2018-10-05,-6.4e-05,-4.3e-05,3.9e-05,8.000000000000001e-07
2018-10-08,-1.7e-05,-4e-05,0.00012199999999999998,8.000000000000001e-07
2018-10-09,-1.8e-05,-2.8999999999999997e-05,2.8999999999999997e-05,8.000000000000001e-07
2018-10-10,-0.000333,3e-05,0.00011200000000000001,8.000000000000001e-07
2018-10-11,-0.000196,4.5e-05,-9.300000000000001e-05,8.000000000000001e-07
2018-10-12,0.000138,-8.800000000000001e-05,-0.00017500000000000003,8.000000000000001e-07
2018-10-15,-4.7999999999999994e-05,9.2e-05,5.2e-05,8.000000000000001e-07
2018-10-16,0.00022400000000000002,6.8e-05,-0.000143,8.000000000000001e-07
2018-10-17,-8e-06,-6.8e-05,2.5e-05,8.000000000000001e-07
2018-10-18,-0.000154,-5.4000000000000005e-05,4.2e-05,8.000000000000001e-07
2018-10-19,-2.5e-05,-0.000133,7.099999999999999e-05,8.000000000000001e-07
