Date,Close,High,Low,Open,Volume,Daily Return,Mkt-RF,SMB,HML,RF
2018-01-03,181.0399932861328,181.88999938964844,177.6999969482422,178.0,2561200,0.0186212462533336,5.9e-05,-3.9e-05,-1.8e-05,6e-07
2018-01-04,183.22000122070312,184.05999755859372,181.63999938964844,181.92999267578125,2211400,0.011969659009274,4.2e-05,-2.6e-05,2.4e-05,6e-07
2018-01-05,185.33999633789065,185.8999938964844,183.5399932861328,185.0,2376500,0.0115043331501109,6.6e-05,-3.6e-05,-2.6e-05,6e-07
2018-01-08,185.0399932861328,185.6000061035156,183.8300018310547,184.9499969482422,2088000,-0.0016199747598187,1.9e-05,-1.5e-05,4e-06,6e-07
2018-01-09,186.6999969482422,186.97000122070312,183.92999267578125,185.57000732421875,1804300,0.0089310525620388,1.5e-05,-3.4e-05,-3e-06,6e-07
2018-01-10,187.1100006103516,187.2700042724609,185.07000732421875,185.2100067138672,1664300,0.0021936482662411,-7.000000000000001e-06,7.000000000000001e-06,5.7e-05,6e-07
2018-01-11,188.9199981689453,188.94000244140625,186.19000244140625,187.2899932861328,1600100,0.0096269528675595,8.7e-05,0.000115,3.1e-05,6e-07
2018-01-12,195.0500030517578,195.5,188.9900054931641,189.08999633789065,4246000,0.0319323162629999,6.6e-05,-3.1e-05,1.6e-05,6e-07
2018-01-16,192.4600067138672,198.2100067138672,191.7100067138672,195.9199981689453,4595600,-0.0133675767859586,-4.9e-05,-0.000102,1e-06,6e-07
2018-01-17,196.4900054931641,197.1199951171875,192.7700042724609,194.0200042724609,2969500,0.0207231925728251,9.5e-05,-3e-06,-1e-05,6e-07
2018-01-18,196.1999969482422,196.58999633789065,194.05999755859372,196.2100067138672,2539400,-0.0014770358086187,-1.8e-05,-5e-05,-2.5e-05,6e-07
2018-01-19,195.72999572753903,196.6300048828125,194.6499938964844,196.2400054931641,2343000,-0.0023983948908489,5.7e-05,9.399999999999998e-05,-4e-06,6e-07
2018-01-22,197.83999633789065,198.0,194.4199981689453,195.6999969482422,1701300,0.0107224680166083,7.7e-05,-3.4e-05,-1.6e-05,6e-07
2018-01-23,200.08999633789065,204.4499969482422,199.44000244140625,202.2899932861328,3981000,0.0113086423233897,2.2000000000000003e-05,1.4e-05,-3.6e-05,6e-07
2018-01-24,197.77999877929688,202.3000030517578,196.5200042724609,201.82000732421875,3250500,-0.0116119513562707,-1.3e-05,-8.4e-05,4.4000000000000006e-05,6e-07
2018-01-25,197.50999450683597,199.2400054931641,196.07000732421875,198.0800018310547,2574200,-0.0013661075111343,7.000000000000001e-06,1.4e-05,-5.4000000000000005e-05,6e-07
2018-01-26,201.3000030517578,201.5500030517578,198.25,198.5,2338100,0.0190071596473079,0.000111,-6.099999999999999e-05,-5.2e-05,6e-07
2018-01-29,198.22999572753903,200.8600006103516,197.8699951171875,200.1100006103516,1939000,-0.015368396656923,-6.2e-05,-2e-06,-2.5e-05,6e-07
