ticker,general_sentiment,ai_sentiment,combined_sentiment,sector
7211.T,-0.9035336447484565,-0.8523460179567337,-0.8779398313525951,EV
AAPL,-0.7843039052188396,-0.8788661764080363,-0.831585040813438,Technology
ADBE,-0.8408873279889425,-0.8090313387953717,-0.8249593333921571,Technology
ALLY,-0.9154335312790923,-0.9319775309413671,-0.9237055311102298,Financial
AMAT,-0.8625714936677147,-0.8517869975831773,-0.857179245625446,Technology
AMD,-0.7767839643059584,-0.8252800014283922,-0.8010319828671753,Technology
AMZN,-0.864541831612587,-0.9040787520232024,-0.8843102918178947,Technology
AVGO,-0.7387249573961004,-0.7927269455459383,-0.7657259514710193,Technology
AXP,-0.9218433925675021,-0.8883937438751789,-0.9051185682213405,Financial
BAC,-0.8586682192713236,-0.8751217722892761,-0.8668949957802998,Financial
BK,-0.8757937789774265,-0.8879592111616423,-0.8818764950695344,Financial
BMW.DE,-0.9474228221290516,-0.9532716015110845,-0.950347211820068,EV
BYDDY,-0.7429535872105396,-0.8722137663099501,-0.8075836767602449,EV
C,-0.8848174685364837,-0.8556978709396275,-0.8702576697380555,Financial
CFG,-0.9109438466369559,-0.8762695182833755,-0.8936066824601657,Financial
COF,-0.9092627683429854,-0.9051539595697967,-0.907208363956391,Financial
CRM,-0.7169561197261999,-0.8507470225358938,-0.7838515711310469,Technology
CSCO,-0.9291395591571927,-0.9411431948343912,-0.9351413769957919,Technology
DDOG,-0.7309337386063167,-0.7051298257916473,-0.718031782198982,Technology
DOCU,-0.7873391984553819,-0.8335411136800592,-0.8104401560677206,Technology
F,-0.8446259518074833,-0.8408605069904537,-0.8427432293989685,EV
FHN,-0.8984873081321147,-0.8890902079068698,-0.8937887580194923,Financial
FITB,-0.8168723752249533,-0.7798459649085998,-0.7983591700667765,Financial
GELYF,-0.8562474931989398,-0.686966959387064,-0.7716072262930018,EV
GM,-0.7971990039582887,-0.8374234092862982,-0.8173112066222934,EV
GNZUF,-0.8987568378448486,0.0,-0.4493784189224243,EV
