Date,Close,High,Low,Open,Volume,Daily Return,Mkt-RF,SMB,HML,RF
2018-01-03,20.25,20.25,19.86000061035156,19.86000061035156,65500,0.0104244716508879,5.9e-05,-3.9e-05,-1.8e-05,6e-07
2018-01-04,20.229999542236328,20.489999771118164,20.1299991607666,20.31999969482422,159400,-0.0009881650008563,4.2e-05,-2.6e-05,2.4e-05,6e-07
2018-01-05,20.38999938964844,20.38999938964844,20.299999237060547,20.31999969482422,59800,0.0078779261008037,6.6e-05,-3.6e-05,-2.6e-05,6e-07
2018-01-08,20.440000534057617,20.5,20.290000915527344,20.399999618530277,112100,0.0024492368110711,1.9e-05,-1.5e-05,4e-06,6e-07
2018-01-09,20.540000915527344,20.63999938964844,20.229999542236328,20.229999542236328,47000,0.0048804576097431,1.5e-05,-3.4e-05,-3e-06,6e-07
2018-01-10,20.59000015258789,20.68000030517578,20.420000076293945,20.420000076293945,73300,0.0024312793771646,-7.000000000000001e-06,7.000000000000001e-06,5.7e-05,6e-07
2018-01-11,20.75,20.790000915527344,20.59000015258789,20.59000015258789,80400,0.0077407182262325,8.7e-05,0.000115,3.1e-05,6e-07
2018-01-12,20.75,20.96999931335449,20.6299991607666,20.96999931335449,53200,0.0,6.6e-05,-3.1e-05,1.6e-05,6e-07
2018-01-16,20.65999984741211,20.86000061035156,20.549999237060547,20.549999237060547,60200,-0.0043467903708823,-4.9e-05,-0.000102,1e-06,6e-07
2018-01-17,20.809999465942383,20.850000381469727,20.65999984741211,20.75,84900,0.0072341584362089,9.5e-05,-3e-06,-1e-05,6e-07
2018-01-18,20.670000076293945,20.729999542236328,20.600000381469727,20.6299991607666,62700,-0.0067502373573098,-1.8e-05,-5e-05,-2.5e-05,6e-07
2018-01-19,20.920000076293945,20.93000030517578,20.709999084472656,20.709999084472656,64000,0.0120222654589361,5.7e-05,9.399999999999998e-05,-4e-06,6e-07
2018-01-22,21.07999992370605,21.07999992370605,20.65999984741211,20.81999969482422,121000,0.007619077210244,7.7e-05,-3.4e-05,-1.6e-05,6e-07
2018-01-23,21.299999237060547,21.549999237060547,20.90999984741211,20.90999984741211,43800,0.010382316842721,2.2000000000000003e-05,1.4e-05,-3.6e-05,6e-07
2018-01-24,21.399999618530277,21.5,21.309999465942383,21.5,53400,0.0046838673054923,-1.3e-05,-8.4e-05,4.4000000000000006e-05,6e-07
2018-01-25,21.440000534057617,21.530000686645508,21.239999771118164,21.239999771118164,50300,0.0018674569098872,7.000000000000001e-06,1.4e-05,-5.4000000000000005e-05,6e-07
2018-01-26,21.850000381469727,21.88999938964844,21.649999618530277,21.649999618530277,45100,0.018942577888163,0.000111,-6.099999999999999e-05,-5.2e-05,6e-07
