Date,Close,High,Low,Open,Volume,Daily Return,Mkt-RF,SMB,HML,RF
2018-01-03,10.774999618530272,10.812000274658203,10.616999626159668,10.63599967956543,11627000,0.021197552137466,5.9e-05,-3.9e-05,-1.8e-05,6e-07
2018-01-04,10.994999885559082,11.005999565124512,10.720999717712402,10.833000183105469,11610000,0.0202120130116855,4.2e-05,-2.6e-05,2.4e-05,6e-07
2018-01-05,11.05799961090088,11.177000045776367,10.902000427246094,11.05500030517578,7710000,0.0057134991303517,6.6e-05,-3.6e-05,-2.6e-05,6e-07
2018-01-08,11.234999656677246,11.269000053405762,10.99899959564209,10.99899959564209,7487000,0.0158797623503441,1.9e-05,-1.5e-05,4e-06,6e-07
2018-01-09,11.072999954223633,11.366999626159668,10.972999572753906,11.234999656677246,7441000,-0.014524166497051,1.5e-05,-3.4e-05,-3e-06,6e-07
2018-01-10,11.100000381469728,11.145999908447266,10.899999618530272,10.970000267028809,6678000,0.0024354341030114,-7.000000000000001e-06,7.000000000000001e-06,5.7e-05,6e-07
2018-01-11,11.11299991607666,11.175000190734863,11.050000190734863,11.107000350952148,6395000,0.0011704439667626,8.7e-05,0.000115,3.1e-05,6e-07
2018-01-12,11.279999732971191,11.449999809265137,11.109000205993652,11.128999710083008,8460000,0.0149156357454531,6.6e-05,-3.1e-05,1.6e-05,6e-07
2018-01-16,11.19200038909912,11.465999603271484,11.118000030517578,11.46500015258789,11755000,-0.0078319502681406,-4.9e-05,-0.000102,1e-06,6e-07
2018-01-17,11.491000175476074,11.583999633789062,11.14799976348877,11.255999565124512,12265000,0.0263648634172315,9.5e-05,-3e-06,-1e-05,6e-07
2018-01-18,11.479999542236328,11.67300033569336,11.406999588012695,11.447999954223633,6976000,-0.0009577845297013,-1.8e-05,-5e-05,-2.5e-05,6e-07
2018-01-19,11.54800033569336,11.581000328063965,11.460000038146973,11.510000228881836,6929000,0.0059059398535467,5.7e-05,9.399999999999998e-05,-4e-06,6e-07
2018-01-22,11.942999839782717,11.96500015258789,11.543999671936035,11.543999671936035,11804000,0.0336330284010452,7.7e-05,-3.4e-05,-1.6e-05,6e-07
2018-01-23,11.869000434875488,12.005999565124512,11.579999923706056,11.970999717712402,11350000,-0.0062153235571534,2.2000000000000003e-05,1.4e-05,-3.6e-05,6e-07
2018-01-24,11.967000007629396,12.19499969482422,11.824999809265137,11.975000381469728,10238000,0.0082228665149415,-1.3e-05,-8.4e-05,4.4000000000000006e-05,6e-07
2018-01-25,12.489999771118164,12.62399959564209,12.032999992370604,12.100000381469728,19406000,0.0427754435833638,7.000000000000001e-06,1.4e-05,-5.4000000000000005e-05,6e-07
2018-01-26,12.906999588012695,13.04699993133545,12.399999618530272,12.63599967956543,20374000,0.0328414621210913,0.000111,-6.099999999999999e-05,-5.2e-05,6e-07
2018-01-29,12.729999542236328,12.996999740600586,12.522000312805176,12.970000267028809,17215000,-0.013808391323496,-6.2e-05,-2e-06,-2.5e-05,6e-07
2018-01-30,12.42099952697754,12.583000183105469,11.909000396728516,12.170000076293944,17379000,-0.0245728261302966,-0.000106,1.4e-05,-2.1e-05,6e-07
2018-01-31,12.791999816894531,12.859000205993652,12.55799961090088,12.612000465393066,12175000,0.0294314107380142,-7.000000000000001e-06,-7.400000000000001e-05,1.1e-05,6e-07
2018-02-01,12.628000259399414,13.115900039672852,12.56999969482422,12.70300006866455,11681000,-0.0129033699802398,3e-06,8e-06,5.4000000000000005e-05,6e-07
2018-02-02,12.51200008392334,12.868000030517578,12.380000114440918,12.550000190734863,13712000,-0.0092284007269687,-0.000213,4e-06,-2.9e-05,6e-07
